params,strict_success,loose_success,avg_sim_success,avg_sim_tanimoto,avg_steps
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 1024, 'w_tox': 150.0, 'w_flip': 150.0, 'w_pen': 25.0}",0.2915601023017903,0.31798806479113384,0.7387111279126746,0.5278125174450207,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 1024, 'w_tox': 150.0, 'w_flip': 150.0, 'w_pen': 50.0}",0.289002557544757,0.3290707587382779,0.7272228903738223,0.566557217091998,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 1024, 'w_tox': 150.0, 'w_flip': 200.0, 'w_pen': 25.0}",0.2872975277067349,0.32310315430520037,0.7265544408713446,0.5678606592689696,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 1024, 'w_tox': 150.0, 'w_flip': 200.0, 'w_pen': 50.0}",0.3154305200341006,0.3410059676044331,0.7341450865594054,0.5752618061253101,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 1024, 'w_tox': 150.0, 'w_flip': 300.0, 'w_pen': 25.0}",0.30434782608695654,0.3393009377664109,0.7300321405046494,0.5839599993294142,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 1024, 'w_tox': 150.0, 'w_flip': 300.0, 'w_pen': 50.0}",0.28388746803069054,0.3154305200341006,0.7334659286876503,0.5255156401426986,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 1024, 'w_tox': 200.0, 'w_flip': 150.0, 'w_pen': 25.0}",0.2932651321398124,0.3248081841432225,0.7370904047578312,0.5613085045712993,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 1024, 'w_tox': 200.0, 'w_flip': 150.0, 'w_pen': 50.0}",0.29752770673486784,0.33248081841432225,0.7295821097208398,0.5462982701329709,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 1024, 'w_tox': 200.0, 'w_flip': 200.0, 'w_pen': 25.0}",0.22506393861892582,0.2421142369991475,0.751403337456906,0.5138721072561014,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 1024, 'w_tox': 200.0, 'w_flip': 200.0, 'w_pen': 50.0}",0.31287297527706737,0.35294117647058826,0.7250134881418598,0.5686570307781403,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 1024, 'w_tox': 200.0, 'w_flip': 300.0, 'w_pen': 25.0}",0.2932651321398124,0.32821824381926684,0.7342530714220211,0.5630219724240768,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 1024, 'w_tox': 200.0, 'w_flip': 300.0, 'w_pen': 50.0}",0.236999147485081,0.25831202046035806,0.7586422020031879,0.5542815397067279,1.0
