params,strict_success,loose_success,avg_sim_success,avg_steps
"{'lr': 0.0003, 'gamma': 0.9, 'batch_size': 128, 'hidden_dim': 2048}",0.29411764705882354,0.32651321398124467,0.7296313679433231,1.0
"{'lr': 0.0003, 'gamma': 0.9, 'batch_size': 256, 'hidden_dim': 256}",0.2310315430520034,0.24978687127024723,0.745661489164472,1.0
"{'lr': 0.0003, 'gamma': 0.9, 'batch_size': 256, 'hidden_dim': 512}",0.24552429667519182,0.2668371696504689,0.7463002686676872,1.0
"{'lr': 0.0003, 'gamma': 0.9, 'batch_size': 256, 'hidden_dim': 1024}",0.22932651321398123,0.257459505541347,0.7292029187763919,1.0
"{'lr': 0.0003, 'gamma': 0.9, 'batch_size': 256, 'hidden_dim': 2048}",0.2770673486786019,0.2966751918158568,0.7378633543016098,1.0
"{'lr': 0.0003, 'gamma': 0.99, 'batch_size': 64, 'hidden_dim': 256}",0.19607843137254902,0.21057118499573743,0.752476283992004,1.0
"{'lr': 0.0003, 'gamma': 0.99, 'batch_size': 64, 'hidden_dim': 512}",0.2753623188405797,0.30008525149190113,0.742970770907003,1.0
"{'lr': 0.0003, 'gamma': 0.99, 'batch_size': 64, 'hidden_dim': 1024}",0.24893435635123615,0.2813299232736573,0.7347349613628084,1.0
"{'lr': 0.0003, 'gamma': 0.99, 'batch_size': 64, 'hidden_dim': 2048}",0.27024722932651324,0.30179028132992325,0.7275917625225123,1.0
"{'lr': 0.0003, 'gamma': 0.99, 'batch_size': 128, 'hidden_dim': 256}",0.2966751918158568,0.3358908780903666,0.7258361033517483,1.0
"{'lr': 0.0003, 'gamma': 0.99, 'batch_size': 128, 'hidden_dim': 512}",0.3069053708439898,0.34867860187553285,0.7215565161669254,1.0
"{'lr': 0.0003, 'gamma': 0.99, 'batch_size': 128, 'hidden_dim': 1024}",0.26768968456947995,0.2966751918158568,0.7341064946320301,1.0
"{'lr': 0.0003, 'gamma': 0.99, 'batch_size': 128, 'hidden_dim': 2048}",0.25234441602728047,0.2753623188405797,0.7492448454105067,1.0
"{'lr': 0.0003, 'gamma': 0.99, 'batch_size': 256, 'hidden_dim': 256}",0.2770673486786019,0.31287297527706737,0.7234203564951054,1.0
